Vpanel:11.69	Apanel:1.98	Watt:23.15	Watt:0.02	Vbatt:11.51	Abatt:1.96	PWM:1185   	Count:5   	StA:0.00

Vpanel:11.74	Apanel:1.98	Watt:23.26	Watt:0.11	Vbatt:11.60	Abatt:1.94	PWM:1185   	Count:5   	StA:0.00

Vpanel:11.67	Apanel:1.98	Watt:23.09	Watt:-0.17	Vbatt:11.50	Abatt:1.95	PWM:1185   	Count:5   	StA:0.00

Vpanel:11.81	Apanel:1.98	Watt:23.38	Watt:0.28	Vbatt:11.64	Abatt:1.93	PWM:1185   	Count:5   	StA:0.00

Vpanel:11.75	Apanel:1.98	Watt:23.27	Watt:-0.10	Vbatt:11.53	Abatt:1.91	PWM:1185   	Count:5   	StA:0.00

Vpanel:11.78	Apanel:1.98	Watt:23.36	Watt:0.09	Vbatt:11.60	Abatt:1.95	PWM:1185   	Count:5   	StA:0.00

Vpanel:11.77	Apanel:1.99	Watt:23.36	Watt:0.00	Vbatt:11.61	Abatt:1.93	PWM:1185   	Count:5   	StA:0.00

Vpanel:12.21	Apanel:1.99	Watt:24.24	Watt:0.88	Vbatt:11.75	Abatt:1.94	PWM:1185   	Count:5   	StA:0.00

Vpanel:12.18	Apanel:1.97	Watt:24.05	Watt:-0.19	Vbatt:11.77	Abatt:1.94	PWM:1185   	Count:5   	StA:0.00

Vpanel:12.41	Apanel:1.94	Watt:24.05	Watt:-0.00	Vbatt:11.79	Abatt:1.97	PWM:1185   	Count:5   	StA:0.00

Vpanel:11.78	Apanel:1.98	Watt:23.32	Watt:-0.73	Vbatt:11.64	Abatt:1.91	PWM:1195   	Count:5   	StA:10.00

Vpanel:10.88	Apanel:1.98	Watt:21.56	Watt:-1.76	Vbatt:10.74	Abatt:1.92	PWM:1190   	Count:5   	StA:-5.00

Vpanel:11.41	Apanel:1.98	Watt:22.59	Watt:1.03	Vbatt:11.20	Abatt:1.98	PWM:1185   	Count:5   	StA:-5.00

Vpanel:12.29	Apanel:1.96	Watt:24.08	Watt:1.49	Vbatt:11.78	Abatt:1.95	PWM:1180   	Count:5   	StA:-5.00

Vpanel:12.37	Apanel:1.86	Watt:22.96	Watt:-1.12	Vbatt:11.83	Abatt:1.85	PWM:1190   	Count:5   	StA:10.00

Vpanel:11.38	Apanel:1.98	Watt:22.55	Watt:-0.41	Vbatt:11.22	Abatt:1.93	PWM:1185   	Count:5   	StA:-5.00

Vpanel:12.00	Apanel:1.94	Watt:23.25	Watt:0.70	Vbatt:11.74	Abatt:1.92	PWM:1180   	Count:5   	StA:-5.00

Vpanel:12.36	Apanel:1.86	Watt:23.05	Watt:-0.20	Vbatt:11.84	Abatt:1.85	PWM:1180   	Count:5   	StA:0.00

Vpanel:12.38	Apanel:1.85	Watt:22.91	Watt:-0.14	Vbatt:11.82	Abatt:1.87	PWM:1180   	Count:5   	StA:0.00

Vpanel:12.37	Apanel:1.86	Watt:23.05	Watt:0.15	Vbatt:11.82	Abatt:1.84	PWM:1180   	Count:5   	StA:0.00

Vpanel:12.37	Apanel:1.86	Watt:23.00	Watt:-0.06	Vbatt:11.82	Abatt:1.86	PWM:1180   	Count:5   	StA:0.00

Vpanel:12.36	Apanel:1.86	Watt:23.03	Watt:0.03	Vbatt:11.85	Abatt:1.83	PWM:1180   	Count:5   	StA:0.00

Vpanel:12.36	Apanel:1.87	Watt:23.08	Watt:0.04	Vbatt:11.84	Abatt:1.87	PWM:1180   	Count:5   	StA:0.00

Vpanel:12.37	Apanel:1.86	Watt:23.07	Watt:-0.01	Vbatt:11.84	Abatt:1.87	PWM:1180   	Count:5   	StA:0.00

Vpanel:12.37	Apanel:1.86	Watt:23.02	Watt:-0.05	Vbatt:11.83	Abatt:1.85	PWM:1180   	Count:5   	StA:0.00

Vpanel:12.37	Apanel:1.86	Watt:23.00	Watt:-0.03	Vbatt:11.83	Abatt:1.86	PWM:1180   	Count:5   	StA:0.00

Vpanel:12.37	Apanel:1.86	Watt:22.98	Watt:-0.02	Vbatt:11.82	Abatt:1.88	PWM:1180   	Count:5   	StA:0.00

Vpanel:12.38	Apanel:1.89	Watt:23.34	Watt:0.36	Vbatt:11.82	Abatt:1.88	PWM:1180   	Count:5   	StA:0.00

Vpanel:12.36	Apanel:1.86	Watt:22.94	Watt:-0.40	Vbatt:11.83	Abatt:1.84	PWM:1190   	Count:5   	StA:10.00

Vpanel:11.63	Apanel:1.97	Watt:22.93	Watt:-0.01	Vbatt:11.45	Abatt:1.93	PWM:1190   	Count:5   	StA:0.00

Vpanel:11.57	Apanel:1.97	Watt:22.81	Watt:-0.11	Vbatt:11.42	Abatt:1.99	PWM:1190   	Count:5   	StA:0.00

Vpanel:11.56	Apanel:1.98	Watt:22.85	Watt:0.03	Vbatt:11.38	Abatt:1.99	PWM:1190   	Count:5   	StA:0.00

Vpanel:11.67	Apanel:1.97	Watt:23.04	Watt:0.19	Vbatt:11.39	Abatt:1.95	PWM:1190   	Count:5   	StA:0.00

Vpanel:11.61	Apanel:1.98	Watt:22.93	Watt:-0.10	Vbatt:11.48	Abatt:1.96	PWM:1190   	Count:5   	StA:0.00

Vpanel:11.58	Apanel:1.98	Watt:22.88	Watt:-0.05	Vbatt:11.41	Abatt:1.92	PWM:1190   	Count:5   	StA:0.00

Vpanel:11.64	Apanel:1.98	Watt:23.00	Watt:0.12	Vbatt:11.47	Abatt:1.94	PWM:1190   	Count:5   	StA:0.00

Vpanel:11.73	Apanel:1.98	Watt:23.27	Watt:0.27	Vbatt:11.57	Abatt:1.97	PWM:1190   	Count:5   	StA:0.00









Vpanel:0.37	Apanel:0.00	Watt:0.00	Vbatt:0.00	Abatt:0.00	outpwm:1000   	MPTT:0   	Count:0   	StA:0.00

Vpanel:13.54	Apanel:0.05	Watt:0.62	Vbatt:12.39	Abatt:0.00	outpwm:1120   	MPTT:2   	Count:5   	StA:5.00

Vpanel:12.90	Apanel:1.17	Watt:15.11	Vbatt:12.10	Abatt:0.56	outpwm:1125   	MPTT:2   	Count:5   	StA:5.00

Vpanel:12.87	Apanel:1.27	Watt:16.32	Vbatt:12.07	Abatt:0.63	outpwm:1130   	MPTT:1   	Count:5   	StA:5.00

